date,consumo,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,surface_pressure,wind_speed_10m
2022-09-20 20:00:00+01:00,605.53,27.182499,48.644844,0.0,0.0,0.0,1005.50726,27.333935
2022-09-20 21:00:00+01:00,592.27,25.332499,58.02487,0.0,0.0,0.0,1006.149,26.758923
2022-09-20 22:00:00+01:00,557.05,23.7325,67.17662,0.0,0.0,0.0,1006.79724,24.819122
2022-09-20 23:00:00+01:00,478.78,22.7825,74.12063,0.0,0.0,0.0,1007.1663,22.862123
2022-09-21 00:00:00+01:00,451.19,21.8825,81.805725,0.0,0.0,0.0,1007.041,21.897945
2022-09-21 01:00:00+01:00,430.13,21.582499,80.49525,0.0,0.0,0.0,1007.1312,22.9724
2022-09-21 02:00:00+01:00,423.01,21.2825,83.284386,0.0,0.0,0.0,1006.4287,23.277834
2022-09-21 03:00:00+01:00,380.85,20.832499,88.33972,0.0,0.0,0.0,1005.9197,22.89611
2022-09-21 04:00:00+01:00,411.63,20.4825,91.1143,0.0,0.0,0.0,1005.41364,21.9718
2022-09-21 05:00:00+01:00,416.8,20.182499,92.818054,0.0,0.0,0.0,1005.3056,20.68356
2022-09-21 06:00:00+01:00,350.06,19.932499,93.386566,0.0,0.0,0.0,1005.1992,21.261345
2022-09-21 07:00:00+01:00,358.62,19.682499,95.7377,0.0,0.0,0.0,1005.58826,21.749483
2022-09-21 08:00:00+01:00,447.96999999999997,19.6325,96.335304,0.0,0.0,0.0,1005.7853,23.090569
2022-09-21 09:00:00+01:00,424.85,20.9825,87.25574,0.0,0.0,0.0,1006.4198,26.009844
2022-09-21 10:00:00+01:00,453.96,22.832499,76.49178,0.0,0.0,0.0,1006.8704,25.41763
2022-09-21 11:00:00+01:00,488.38,24.9825,65.14182,0.0,0.0,1.0,1007.6266,21.175837
2022-09-21 12:00:00+01:00,481.58,27.4825,52.09536,0.0,0.0,1.0,1007.79645,20.316889
2022-09-21 13:00:00+01:00,461.13,28.7325,44.439857,0.0,0.0,2.0,1007.7325,17.377226
2022-09-21 14:00:00+01:00,441.75,29.8825,39.118134,0.0,0.0,3.0,1007.1693,16.039202
2022-09-21 15:00:00+01:00,433.32,31.1325,34.915752,0.0,0.0,0.0,1006.3112,14.76439
2022-09-21 16:00:00+01:00,453.13,32.6325,30.74175,0.0,0.0,1.0,1005.45966,15.281989
2022-09-21 17:00:00+01:00,474.89,32.982502,30.937754,0.0,0.0,1.0,1005.07245,17.57744
2022-09-21 18:00:00+01:00,509.29,31.932499,36.05422,0.0,0.0,0.0,1004.9445,23.871555
2022-09-21 19:00:00+01:00,624.22,28.832499,47.54841,0.0,0.0,0.0,1005.1569,31.193535
2022-09-21 20:00:00+01:00,627.8199999999999,26.082499,57.47191,0.0,0.0,0.0,1005.47626,30.758411
2022-09-21 21:00:00+01:00,614.8,24.2325,68.34426,0.0,0.0,0.0,1006.316,29.973106
2022-09-21 22:00:00+01:00,559.94,23.0325,78.213905,0.0,0.0,0.0,1007.1736,28.185953
2022-09-21 23:00:00+01:00,560.09,22.2325,84.17588,0.0,0.0,0.0,1007.5469,27.047956
2022-09-22 00:00:00+01:00,537.75,21.832499,85.71897,0.0,0.0,0.0,1007.53546,27.381306
2022-09-22 01:00:00+01:00,486.03,21.332499,87.832825,0.0,0.0,0.0,1007.52057,26.980793
2022-09-22 02:00:00+01:00,473.18,21.182499,88.92087,0.0,0.0,0.0,1007.02045,27.105392
2022-09-22 03:00:00+01:00,485.25,20.932499,90.29668,0.0,0.0,0.0,1006.51746,27.598173
2022-09-22 04:00:00+01:00,475.16999999999996,20.7325,91.41456,0.0,0.0,1.0,1006.21405,26.66188
2022-09-22 05:00:00+01:00,468.68,20.582499,91.69039,0.0,0.0,1.0,1006.5071,23.950148
2022-09-22 06:00:00+01:00,449.18,20.3825,91.678276,0.0,0.0,0.0,1006.4022,24.798225
2022-09-22 07:00:00+01:00,403.53,20.2825,91.38639,0.0,0.0,0.0,1006.49817,25.199997
2022-09-22 08:00:00+01:00,433.23,20.1325,92.23766,0.0,0.0,0.0,1006.6921,23.979893
2022-09-22 09:00:00+01:00,451.8,21.2825,85.39641,0.0,0.0,0.0,1006.92444,28.961546
2022-09-22 10:00:00+01:00,496.14,23.0325,75.571,0.0,0.0,1.0,1007.471,28.296091
2022-09-22 11:00:00+01:00,540.83,25.1325,64.76532,0.0,0.0,0.0,1008.1264,25.501621
2022-09-22 12:00:00+01:00,563.3,27.2325,54.56476,0.0,0.0,0.0,1008.08704,24.703974
2022-09-22 13:00:00+01:00,569.17,28.932499,44.49425,0.0,0.0,0.0,1007.6386,24.344624
2022-09-22 14:00:00+01:00,543.51,30.5325,37.686234,0.0,0.0,0.0,1006.989,25.35637
2022-09-22 15:00:00+01:00,536.73,31.332499,34.29691,0.0,0.0,0.0,1006.1182,27.666182
2022-09-22 16:00:00+01:00,534.63,31.2825,34.618736,0.0,0.0,0.0,1005.62115,29.515608
